# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
457		1727		38239		3368
458		1727		38239		3368
459		1727		38239		3368
460		1727		38239		3368
461		1727		38239		3368
462		1727		38239		3368
463		1727		38239		3368
464		1727		38239		3368
465		1727		38239		3368
466		1727		38239		3368
467		1727		38239		3368
468		1727		38239		3368
469		1727		38239		3368
470		1727		38239		3368
471		1727		38239		3368
472		1727		38239		3368
473		1727		38239		3368
474		1727		38239		3368
475		1727		38239		3368
476		1727		38239		3368
477		1727		38239		3368
478		1727		38239		3368
479		1727		38239		3368
480		1727		38239		3368
481		1727		38239		3368
482		1727		38239		3368
483		1727		38239		3368
484		1727		38239		3368
485		1727		38239		3368
486		1727		38239		3368
487		1727		38239		3368
488		1727		38239		3368
489		1727		38239		3368
490		1727		38239		3368
491		1727		38239		3368
492		1727		38239		3368
493		1727		38239		3368
494		1727		38239		3368
495		1727		38239		3368
496		1727		38239		3368
497		1727		38239		3368
498		1727		38239		3368
499		1727		38239		3368
500		1727		38239		3368
501		1727		38239		3368
502		1727		38239		3368
503		1727		38239		3368
504		1727		38239		3368
505		1727		38239		3368
506		1727		38239		3368
507		1727		38239		3368
508		1727		38239		3368
509		1727		38239		3368
510		1727		38239		3368
511		1727		38239		3368
512		1727		38239		3368
513		1727		38239		3368
514		1727		38239		3368
515		1727		38239		3368
516		1727		38239		3368
517		1727		38239		3368
518		1727		38239		3368
519		1727		38239		3368
520		1727		38239		3368
521		1727		38239		3368
522		1727		38239		3368
523		1727		38239		3368
524		1727		38239		3368
525		1727		38239		3368
526		1727		38239		3368
527		1727		38239		3368
528		1727		38239		3368
529		1727		38239		3368
530		1727		38239		3368
531		1727		38239		3368
532		1727		38239		3368
533		1727		38239		3368
534		1727		38239		3368
535		1727		38239		3368
536		1727		38239		3368
537		1727		38239		3368
538		1727		38239		3368
539		1727		38239		3368
540		1727		38239		3368
541		1727		38239		3368
542		1727		38239		3368
543		1727		38239		3368
544		1727		38239		3368
545		1727		38239		3368
546		1727		38239		3368
547		1727		38239		3368
548		1727		38239		3368
549		1727		38239		3368
550		1727		38239		3368
551		1727		38239		3368
552		1727		38239		3368
553		1727		38239		3368
554		1727		38239		3368
555		1727		38239		3368
556		1727		38239		3368
557		1727		38239		3368
558		1727		38239		3368
559		1727		38239		3368
560		1727		38239		3368
561		1727		38239		3368
562		1727		38239		3368
563		1727		38239		3368
564		1727		38239		3368
565		1727		38239		3368
566		1727		38239		3368
567		1727		38239		3368
568		1727		38239		3368
569		1727		38239		3368
570		1727		38239		3368
571		1727		38239		3368
572		1727		38239		3368
573		1727		38239		3368
574		1727		38239		3368
575		1727		38239		3368
576		1727		38239		3368
577		1727		38239		3368
578		1727		38239		3368
579		1727		38239		3368
580		1727		38239		3368
581		1727		38239		3368
582		1727		38239		3368
583		1727		38239		3368
584		1727		38239		3368
585		1727		38239		3368
586		1727		38239		3368
587		1727		38239		3368
588		1727		38239		3368
589		1727		38239		3368
